Player,Team,Affiliation,Year,RoundNumber,RoundPick,OverallPick,Season
Cade Cunningham,Detroit Pistons,Oklahoma State,2021,1,1,1,2021
Jalen Green,Houston Rockets,Ignite (G League),2021,1,2,2,2021
Evan Mobley,Cleveland Cavaliers,Southern California,2021,1,3,3,2021
Scottie Barnes,Toronto Raptors,Florida State,2021,1,4,4,2021
Jalen Suggs,Orlando Magic,Gonzaga,2021,1,5,5,2021
Josh Giddey,Oklahoma City Thunder,NBA Global Academy (Australia),2021,1,6,6,2021
Jonathan Kuminga,Golden State Warriors,Ignite (G League),2021,1,7,7,2021
Franz Wagner,Orlando Magic,Michigan,2021,1,8,8,2021
Davion Mitchell,Sacramento Kings,Baylor,2021,1,9,9,2021
Ziaire Williams,New Orleans Pelicans,Stanford,2021,1,10,10,2021
James Bouknight,Charlotte Hornets,Connecticut,2021,1,11,11,2021
Joshua Primo,San Antonio Spurs,Alabama,2021,1,12,12,2021
Chris Duarte,Indiana Pacers,Oregon,2021,1,13,13,2021
Moses Moody,Golden State Warriors,Arkansas,2021,1,14,14,2021
Corey Kispert,Washington Wizards,Gonzaga,2021,1,15,15,2021
Alperen Sengun,Oklahoma City Thunder,Besiktas (Turkey),2021,1,16,16,2021
Trey Murphy III,Memphis Grizzlies,Virginia,2021,1,17,17,2021
Tre Mann,Oklahoma City Thunder,Florida,2021,1,18,18,2021
Kai Jones,New York Knicks,Texas,2021,1,19,19,2021
Jalen Johnson,Atlanta Hawks,Duke,2021,1,20,20,2021
Keon Johnson,New York Knicks,Tennessee,2021,1,21,21,2021
Isaiah Jackson,Los Angeles Lakers,Kentucky,2021,1,22,22,2021
Usman Garuba,Houston Rockets,Madrid (ESP),2021,1,23,23,2021
Josh Christopher,Houston Rockets,Arizona State,2021,1,24,24,2021
Quentin Grimes,LA Clippers,Houston,2021,1,25,25,2021
Bones Hyland,Denver Nuggets,Virginia Commonwealth,2021,1,26,26,2021
Cam Thomas,Brooklyn Nets,Louisiana State,2021,1,27,27,2021
Jaden Springer,Philadelphia 76ers,Tennessee,2021,1,28,28,2021
Day'Ron Sharpe,Phoenix Suns,North Carolina,2021,1,29,29,2021
Santi Aldama,Utah Jazz,Loyola-Maryland,2021,1,30,30,2021
Isaiah Todd,Milwaukee Bucks,Ignite (G League),2021,2,1,31,2021
Jeremiah Robinson-Earl,New York Knicks,Villanova,2021,2,2,32,2021
Jason Preston,Orlando Magic,Ohio,2021,2,3,33,2021
Rokas Jokubaitis,Oklahoma City Thunder,BC Zalgiris (Lithuania),2021,2,4,34,2021
Herbert Jones,New Orleans Pelicans,Alabama,2021,2,5,35,2021
Miles McBride,Oklahoma City Thunder,West Virginia,2021,2,6,36,2021
JT Thor,Detroit Pistons,Auburn,2021,2,7,37,2021
Ayo Dosunmu,Chicago Bulls,Illinois,2021,2,8,38,2021
Neemias Queta,Sacramento Kings,Utah State,2021,2,9,39,2021
Jared Butler,Sacramento Kings,Baylor,2021,2,10,40,2021
Joe Wieskamp,San Antonio Spurs,Iowa,2021,2,11,41,2021
Isaiah Livers,Detroit Pistons,Michigan,2021,2,12,42,2021
Greg Brown III,New Orleans Pelicans,Texas,2021,2,13,43,2021
Kessler Edwards,Brooklyn Nets,Pepperdine,2021,2,14,44,2021
Juhann Begarin,Boston Celtics,Paris (France),2021,2,15,45,2021
Dalano Banton,Toronto Raptors,Nebraska,2021,2,16,46,2021
David Johnson,Toronto Raptors,Louisville,2021,2,17,47,2021
Sharife Cooper,Atlanta Hawks,Auburn,2021,2,18,48,2021
Marcus Zegarowski,Brooklyn Nets,Creighton,2021,2,19,49,2021
Filip Petrusev,Philadelphia 76ers,KK Mega Leks (Serbia),2021,2,20,50,2021
Paolo Banchero,Orlando Magic,Duke,2022,1,1,1,2022
Chet Holmgren,Oklahoma City Thunder,Gonzaga,2022,1,2,2,2022
Jabari Smith Jr.,Houston Rockets,Auburn,2022,1,3,3,2022
Keegan Murray,Sacramento Kings,Iowa,2022,1,4,4,2022
Jaden Ivey,Detroit Pistons,Purdue,2022,1,5,5,2022
Bennedict Mathurin,Indiana Pacers,Arizona,2022,1,6,6,2022
Shaedon Sharpe,Portland Trail Blazers,Kentucky,2022,1,7,7,2022
Dyson Daniels,New Orleans Pelicans,Ignite (G League),2022,1,8,8,2022
Jeremy Sochan,San Antonio Spurs,Baylor,2022,1,9,9,2022
Johnny Davis,Washington Wizards,Wisconsin,2022,1,10,10,2022
Ousmane Dieng,New York Knicks,Breakers (New Zealand),2022,1,11,11,2022
Jalen Williams,Oklahoma City Thunder,Santa Clara,2022,1,12,12,2022
Jalen Duren,Charlotte Hornets,Memphis,2022,1,13,13,2022
Ochai Agbaji,Cleveland Cavaliers,Kansas,2022,1,14,14,2022
Mark Williams,Charlotte Hornets,Duke,2022,1,15,15,2022
AJ Griffin,Atlanta Hawks,Duke,2022,1,16,16,2022
Tari Eason,Houston Rockets,Louisiana State,2022,1,17,17,2022
Dalen Terry,Chicago Bulls,Arizona State,2022,1,18,18,2022
Jake LaRavia,Minnesota Timberwolves,Wake Forest,2022,1,19,19,2022
Malaki Branham,San Antonio Spurs,Ohio State,2022,1,20,20,2022
Christian Braun,Denver Nuggets,Kansas,2022,1,21,21,2022
Walker Kessler,Memphis Grizzlies,Auburn,2022,1,22,22,2022
David Roddy,Philadelphia 76ers,Colorado State,2022,1,23,23,2022
MarJon Beauchamp,Milwaukee Bucks,Ignite (G League),2022,1,24,24,2022
Blake Wesley,San Antonio Spurs,Notre Dame,2022,1,25,25,2022
Wendell Moore Jr.,Dallas Mavericks,Duke,2022,1,26,26,2022
Nikola Jović,Miami Heat,KK Mega Leks (Serbia),2022,1,27,27,2022
Patrick Baldwin Jr.,Golden State Warriors,Wisconsin-Milwaukee,2022,1,28,28,2022
TyTy Washington Jr.,Memphis Grizzlies,Kentucky,2022,1,29,29,2022
Peyton Watson,Oklahoma City Thunder,California-Los Angeles,2022,1,30,30,2022
Andrew Nembhard,Indiana Pacers,Gonzaga,2022,2,1,31,2022
Caleb Houstan,Orlando Magic,Michigan,2022,2,2,32,2022
Christian Koloko,Toronto Raptors,Arizona,2022,2,3,33,2022
Jaylin Williams,Oklahoma City Thunder,Arkansas,2022,2,4,34,2022
Max Christie,Los Angeles Lakers,Michigan State,2022,2,5,35,2022
Gabriele Procida,Portland Trail Blazers,Fortitudo Pallacanestro Bologna (Italy),2022,2,6,36,2022
Jaden Hardy,Sacramento Kings,Ignite (G League),2022,2,7,37,2022
Kennedy Chandler,San Antonio Spurs,Tennessee,2022,2,8,38,2022
Khalifa Diop,Cleveland Cavaliers,CB Gran Canaria (Spain),2022,2,9,39,2022
Bryce McGowens,Minnesota Timberwolves,Nebraska,2022,2,10,40,2022
E.J. Liddell,New Orleans Pelicans,Ohio State,2022,2,11,41,2022
Trevor Keels,New York Knicks,Duke,2022,2,12,42,2022
Moussa Diabate,LA Clippers,Michigan,2022,2,13,43,2022
Ryan Rollins,Atlanta Hawks,Toledo,2022,2,14,44,2022
Josh Minott,Charlotte Hornets,Memphis,2022,2,15,45,2022
Ismael Kamagate,Detroit Pistons,Paris (France),2022,2,16,46,2022
Vince Williams Jr.,Memphis Grizzlies,Virginia Commonwealth,2022,2,17,47,2022
Kendall Brown,Minnesota Timberwolves,Baylor,2022,2,18,48,2022
Isaiah Mobley,Cleveland Cavaliers,Southern California,2022,2,19,49,2022
Matteo Spagnolo,Minnesota Timberwolves,Vanoli Cremona (Italy),2022,2,20,50,2022
Tyrese Martin,Golden State Warriors,Connecticut,2022,2,21,51,2022
Karlo Matkovic,New Orleans Pelicans,Mega Mozzart (Serbia),2022,2,22,52,2022
JD Davison,Boston Celtics,Alabama,2022,2,23,53,2022
Yannick Nzosa,Washington Wizards,Unicaja Baloncesto Malaga (Spain),2022,2,24,54,2022
Gui Santos,Golden State Warriors,Associacao Atletica Ponte Preta (Brazil),2022,2,25,55,2022
Luke Travers,Cleveland Cavaliers,Perth Wildcats (Australia),2022,2,26,56,2022
Jabari Walker,Portland Trail Blazers,Colorado,2022,2,27,57,2022
Hugo Besson,Indiana Pacers,Breakers (New Zealand),2022,2,28,58,2022
Victor Wembanyama,San Antonio Spurs,Metropolitans 92 (France),2023,1,1,1,2023
Brandon Miller,Charlotte Hornets,Alabama,2023,1,2,2,2023
Scoot Henderson,Portland Trail Blazers,Ignite (G League),2023,1,3,3,2023
Amen Thompson,Houston Rockets,Overtime Elite,2023,1,4,4,2023
Ausar Thompson,Detroit Pistons,Overtime Elite,2023,1,5,5,2023
Anthony Black,Orlando Magic,Arkansas,2023,1,6,6,2023
Bilal Coulibaly,Indiana Pacers,Metropolitans 92 (France),2023,1,7,7,2023
Jarace Walker,Washington Wizards,Houston,2023,1,8,8,2023
Taylor Hendricks,Utah Jazz,Central Florida,2023,1,9,9,2023
Cason Wallace,Dallas Mavericks,Kentucky,2023,1,10,10,2023
Jett Howard,Orlando Magic,Michigan,2023,1,11,11,2023
Dereck Lively II,Oklahoma City Thunder,Duke,2023,1,12,12,2023
Gradey Dick,Toronto Raptors,Kansas,2023,1,13,13,2023
Jordan Hawkins,New Orleans Pelicans,Connecticut,2023,1,14,14,2023
Kobe Bufkin,Atlanta Hawks,Michigan,2023,1,15,15,2023
Keyonte George,Utah Jazz,Baylor,2023,1,16,16,2023
Jalen Hood-Schifino,Los Angeles Lakers,Indiana,2023,1,17,17,2023
Jaime Jaquez Jr.,Miami Heat,California-Los Angeles,2023,1,18,18,2023
Brandin Podziemski,Golden State Warriors,Santa Clara,2023,1,19,19,2023
Cam Whitmore,Houston Rockets,Villanova,2023,1,20,20,2023
Noah Clowney,Brooklyn Nets,Alabama,2023,1,21,21,2023
Dariq Whitehead,Brooklyn Nets,Duke,2023,1,22,22,2023
Kris Murray,Portland Trail Blazers,Iowa,2023,1,23,23,2023
Olivier-Maxence Prosper,Sacramento Kings,Marquette,2023,1,24,24,2023
Marcus Sasser,Memphis Grizzlies,Houston,2023,1,25,25,2023
Ben Sheppard,Indiana Pacers,Belmont,2023,1,26,26,2023
Nick Smith Jr.,Charlotte Hornets,Arkansas,2023,1,27,27,2023
Brice Sensabaugh,Utah Jazz,Ohio State,2023,1,28,28,2023
Julian Strawther,Indiana Pacers,Gonzaga,2023,1,29,29,2023
Kobe Brown,LA Clippers,Missouri,2023,1,30,30,2023
James Nnaji,Detroit Pistons,FC Barcelona Basquet (Spain),2023,2,1,31,2023
Jalen Pickett,Indiana Pacers,Penn State,2023,2,2,32,2023
Leonard Miller,San Antonio Spurs,Ignite (G League),2023,2,3,33,2023
Colby Jones,Charlotte Hornets,Xavier,2023,2,4,34,2023
Julian Phillips,Boston Celtics,Tennessee,2023,2,5,35,2023
Andre Jackson Jr.,Orlando Magic,Connecticut,2023,2,6,36,2023
Hunter Tyson,Oklahoma City Thunder,Clemson,2023,2,7,37,2023
Jordan Walsh,Sacramento Kings,Arkansas,2023,2,8,38,2023
Mouhamed Gueye,Charlotte Hornets,Washington State,2023,2,9,39,2023
Maxwell Lewis,Denver Nuggets,Pepperdine,2023,2,10,40,2023
Amari Bailey,Charlotte Hornets,California-Los Angeles,2023,2,11,41,2023
Tristan Vukcevic,Washington Wizards,Real Madrid Baloncesto (Spain),2023,2,12,42,2023
Rayan Rupert,Portland Trail Blazers,Breakers (New Zealand),2023,2,13,43,2023
Sidy Cissoko,San Antonio Spurs,Ignite (G League),2023,2,14,44,2023
GG Jackson,Memphis Grizzlies,South Carolina,2023,2,15,45,2023
Seth Lundy,Atlanta Hawks,Penn State,2023,2,16,46,2023
Mojave King,Los Angeles Lakers,Ignite (G League),2023,2,17,47,2023
Jordan Miller,LA Clippers,Miami (FL),2023,2,18,48,2023
Emoni Bates,Cleveland Cavaliers,Eastern Michigan,2023,2,19,49,2023
Keyontae Johnson,Oklahoma City Thunder,Kansas State,2023,2,20,50,2023
Jalen Wilson,Brooklyn Nets,Kansas,2023,2,21,51,2023
Toumani Camara,Phoenix Suns,Dayton,2023,2,22,52,2023
Jaylen Clark,Minnesota Timberwolves,California-Los Angeles,2023,2,23,53,2023
Jalen Slawson,Sacramento Kings,Furman,2023,2,24,54,2023
Isaiah Wong,Indiana Pacers,Miami (FL),2023,2,25,55,2023
Tarik Biberovic,Memphis Grizzlies,Fenerbahce S.K. (Turkey),2023,2,26,56,2023
Trayce Jackson-Davis,Washington Wizards,Indiana,2023,2,27,57,2023
Chris Livingston,Milwaukee Bucks,Kentucky,2023,2,28,58,2023
Zaccharie Risacher,Atlanta Hawks,JL Bourg (France),2024,1,1,1,2024
Alexandre Sarr,Washington Wizards,Perth Wildcats (Australia),2024,1,2,2,2024
Reed Sheppard,Houston Rockets,Kentucky,2024,1,3,3,2024
Stephon Castle,San Antonio Spurs,Connecticut,2024,1,4,4,2024
Ronald Holland II,Detroit Pistons,Ignite (G League),2024,1,5,5,2024
Tidjane Salaün,Charlotte Hornets,Cholet Basket (France),2024,1,6,6,2024
Donovan Clingan,Portland Trail Blazers,Connecticut,2024,1,7,7,2024
Rob Dillingham,San Antonio Spurs,Kentucky,2024,1,8,8,2024
Zach Edey,Memphis Grizzlies,Purdue,2024,1,9,9,2024
Cody Williams,Utah Jazz,Colorado,2024,1,10,10,2024
Matas Buzelis,Chicago Bulls,Ignite (G League),2024,1,11,11,2024
Nikola Topić,Oklahoma City Thunder,KK Crvena zvezda (Serbia),2024,1,12,12,2024
Devin Carter,Sacramento Kings,Providence,2024,1,13,13,2024
Carlton Carrington,Portland Trail Blazers,Pittsburgh,2024,1,14,14,2024
Kel'el Ware,Miami Heat,Indiana,2024,1,15,15,2024
Jared McCain,Philadelphia 76ers,Duke,2024,1,16,16,2024
Dalton Knecht,Los Angeles Lakers,Tennessee,2024,1,17,17,2024
Tristan da Silva,Orlando Magic,Colorado,2024,1,18,18,2024
Ja'Kobe Walter,Toronto Raptors,Baylor,2024,1,19,19,2024
Jaylon Tyson,Cleveland Cavaliers,California,2024,1,20,20,2024
Yves Missi,New Orleans Pelicans,Baylor,2024,1,21,21,2024
DaRon Holmes II,Phoenix Suns,Dayton,2024,1,22,22,2024
AJ Johnson,Milwaukee Bucks,Illawarra (Australia),2024,1,23,23,2024
Kyshawn George,New York Knicks,Miami (FL),2024,1,24,24,2024
Pacôme Dadiet,New York Knicks,Ratiopharm Ulm (Germany),2024,1,25,25,2024
Dillon Jones,Washington Wizards,Weber State,2024,1,26,26,2024
Terrence Shannon Jr.,Minnesota Timberwolves,Illinois,2024,1,27,27,2024
Ryan Dunn,Denver Nuggets,Virginia,2024,1,28,28,2024
Isaiah Collier,Utah Jazz,Southern California,2024,1,29,29,2024
Baylor Scheierman,Boston Celtics,Creighton,2024,1,30,30,2024
Jonathan Mogbo,Toronto Raptors,San Francisco,2024,2,1,31,2024
Kyle Filipowski,Utah Jazz,Duke,2024,2,2,32,2024
Tyler Smith,Milwaukee Bucks,Ignite (G League),2024,2,3,33,2024
Tyler Kolek,Portland Trail Blazers,Marquette,2024,2,4,34,2024
Johnny Furphy,San Antonio Spurs,Kansas,2024,2,5,35,2024
Juan Nunez,Indiana Pacers,Ratiopharm Ulm (Germany),2024,2,6,36,2024
Bobi Klintman,Minnesota Timberwolves,Cairns Taipans (Australia),2024,2,7,37,2024
Ajay Mitchell,New York Knicks,California-Santa Barbara,2024,2,8,38,2024
Jaylen Wells,Memphis Grizzlies,Washington State,2024,2,9,39,2024
Oso Ighodaro,Portland Trail Blazers,Marquette,2024,2,10,40,2024
Adem Bona,Philadelphia 76ers,California-Los Angeles,2024,2,11,41,2024
KJ Simpson,Charlotte Hornets,Colorado,2024,2,12,42,2024
Nikola Djurisic,Miami Heat,KK Mega Leks (Serbia),2024,2,13,43,2024
Pelle Larsson,Houston Rockets,Arizona,2024,2,14,44,2024
Jamal Shead,Sacramento Kings,Houston,2024,2,15,45,2024
Cam Christie,LA Clippers,Minnesota,2024,2,16,46,2024
Antonio Reeves,Orlando Magic,Kentucky,2024,2,17,47,2024
Harrison Ingram,San Antonio Spurs,North Carolina,2024,2,18,48,2024
Tristen Newton,Indiana Pacers,Connecticut,2024,2,19,49,2024
Enrique Freeman,Indiana Pacers,Akron,2024,2,20,50,2024
Melvin Ajinca,New York Knicks,Saint-Quentin BB (France),2024,2,21,51,2024
Quinten Post,Golden State Warriors,Boston College,2024,2,22,52,2024
Cam Spencer,Detroit Pistons,Connecticut,2024,2,23,53,2024
Anton Watson,Boston Celtics,Gonzaga,2024,2,24,54,2024
Bronny James,Los Angeles Lakers,Southern California,2024,2,25,55,2024
Kevin McCullar Jr.,Phoenix Suns,Kansas,2024,2,26,56,2024
Ulrich Chomche,Memphis Grizzlies,APR BBC (Rwanda),2024,2,27,57,2024
Ariel Hukporti,Dallas Mavericks,MHP Riesen (Germany),2024,2,28,58,2024
